Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|Q92922|SMRC1_HUMAN	Q92922	SMRC1_HUMAN	SMARCC1	1105	Homo sapiens	SWI/SNF complex subunit SMARCC1	1:Experimental evidence at protein level	1.72	1.0000	0.9990	2	0	0	7	0	0	2.07693776E8	0	0			
sp|Q92925|SMRD2_HUMAN	Q92925	SMRD2_HUMAN	SMARCD2	531	Homo sapiens	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	1:Experimental evidence at protein level	3.20	1.0000	0.9990	1	0	0	1	0	0	9652622.0	0	0			
sp|Q92930|RAB8B_HUMAN	Q92930	RAB8B_HUMAN	RAB8B	207	Homo sapiens	Ras-related protein Rab-8B	1:Experimental evidence at protein level	31.40	1.0000	0.9990	8	2	5	20	4	9	2.90651034E9	9.4382296E7	4.47969792E8			
sp|Q92934|BAD_HUMAN	Q92934	BAD_HUMAN	BAD	168	Homo sapiens	Bcl2-associated agonist of cell death	1:Experimental evidence at protein level	14.29	1.0000	0.9990	2	2	2	2	2	2	1.6263488E7	1.6263488E7	1.6263488E7			
sp|Q92945|FUBP2_HUMAN	Q92945	FUBP2_HUMAN	KHSRP	711	Homo sapiens	Far upstream element-binding protein 2	1:Experimental evidence at protein level	47.96	1.0000	0.9990	24	23	24	52	51	52	8.1178803E8	8.1178803E8	8.1178803E8	1C(57.0214),1M(15.9949),1M(15.9949),2M(15.9949),2M(15.9949),5C(57.0214),5C(57.0214),5C(57.0214),5C(57.0214),5M(15.9949),5M(15.9949),N-term(42.0106),N-term(42.0106)		
sp|Q92947|GCDH_HUMAN	Q92947	GCDH_HUMAN	GCDH	438	Homo sapiens	Glutaryl-CoA dehydrogenase, mitochondrial	1:Experimental evidence at protein level	26.94	1.0000	0.9990	9	9	9	22	22	22	5.7610067E8	5.7610067E8	5.7610067E8	1M(15.9949),2M(15.9949),2M(15.9949),2M(15.9949),4C(57.0214),4C(57.0214),4C(57.0214),6C(57.0214)		
sp|Q92963|RIT1_HUMAN	Q92963	RIT1_HUMAN	RIT1	219	Homo sapiens	GTP-binding protein Rit1	1:Experimental evidence at protein level	10.96	1.0000	0.9990	2	2	2	2	2	2	3.1045374E7	3.1045374E7	3.1045374E7			
sp|Q92973|TNPO1_HUMAN	Q92973	TNPO1_HUMAN	TNPO1	898	Homo sapiens	Transportin-1	1:Experimental evidence at protein level	33.30	1.0000	0.9990	23	20	23	47	42	47	1.08304614E9	9.8126368E8	1.08304614E9	10C(57.0214),10C(57.0214),13C(57.0214), 2C(57.0214),13C(57.0214), 2C(57.0214),2C(57.0214),3C(57.0214),4C(57.0214),4C(57.0214),6C(57.0214),6C(57.0214),6C(57.0214),6C(57.0214)		
sp|Q92979|NEP1_HUMAN	Q92979	NEP1_HUMAN	EMG1	244	Homo sapiens	Ribosomal RNA small subunit methyltransferase NEP1	1:Experimental evidence at protein level	14.34	1.0000	0.9990	3	3	3	3	3	3	1.6017484E7	1.6017484E7	1.6017484E7	2C(57.0214),N-term(42.0106)		
sp|Q92989|CLP1_HUMAN	Q92989	CLP1_HUMAN	CLP1	425	Homo sapiens	Polyribonucleotide 5'-hydroxyl-kinase Clp1	1:Experimental evidence at protein level	3.76	1.0000	0.9990	1	1	1	1	1	1	5635823.5	5635823.5	5635823.5	9C(57.0214)		
sp|Q92995|UBP13_HUMAN	Q92995	UBP13_HUMAN	USP13	863	Homo sapiens	Ubiquitin carboxyl-terminal hydrolase 13	1:Experimental evidence at protein level	1.27	1.0000	0.9990	1	0	0	1	0	0	1.0256943E7	0	0			
sp|Q93008|USP9X_HUMAN	Q93008	USP9X_HUMAN	USP9X	2554	Homo sapiens	Probable ubiquitin carboxyl-terminal hydrolase FAF-X	1:Experimental evidence at protein level	7.56	1.0000	0.9990	21	8	21	29	11	29	1.04670952E8	7.8635024E7	1.04670952E8	6C(57.0214),7C(57.0214)		
sp|Q93009|UBP7_HUMAN	Q93009	UBP7_HUMAN	USP7	1102	Homo sapiens	Ubiquitin carboxyl-terminal hydrolase 7	1:Experimental evidence at protein level	21.69	1.0000	0.9990	20	20	20	28	28	28	2.916728E8	2.916728E8	2.916728E8	10C(57.0214),13C(57.0214),13C(57.0214),13M(15.9949),14C(57.0214), 5C(57.0214),14C(57.0214), 5C(57.0214),6C(57.0214)		
sp|Q93034|CUL5_HUMAN	Q93034	CUL5_HUMAN	CUL5	780	Homo sapiens	Cullin-5	1:Experimental evidence at protein level	21.79	1.0000	0.9990	18	18	18	24	24	24	2.88822208E8	2.88822208E8	2.88822208E8			
sp|Q93045|STMN2_HUMAN	Q93045	STMN2_HUMAN	STMN2	179	Homo sapiens	Stathmin-2	1:Experimental evidence at protein level	11.17	1.0000	0.9990	3	0	0	5	0	0	4.01036512E8	0	0			
sp|Q93050|VPP1_HUMAN	Q93050	VPP1_HUMAN	ATP6V0A1	837	Homo sapiens	V-type proton ATPase 116 kDa subunit a 1	1:Experimental evidence at protein level	11.47	1.0000	0.9990	7	7	7	14	14	14	1.81344288E8	1.81344288E8	1.81344288E8	9C(57.0214),9C(57.0214)		
sp|Q93052|LPP_HUMAN	Q93052	LPP_HUMAN	LPP	612	Homo sapiens	Lipoma-preferred partner	1:Experimental evidence at protein level	10.78	1.0000	0.9990	7	7	7	6	6	6	5.4903352E7	5.4903352E7	5.4903352E7	12C(57.0214), 6C(57.0214), 9C(57.0214),17C(57.0214),6C(57.0214)		
sp|Q93074|MED12_HUMAN	Q93074	MED12_HUMAN	MED12	2177	Homo sapiens	Mediator of RNA polymerase II transcription subunit 12	1:Experimental evidence at protein level	0.73	1.0000	0.9990	1	1	1	1	1	1	0	0	0			
sp|Q93084|AT2A3_HUMAN	Q93084	AT2A3_HUMAN	ATP2A3	999	Homo sapiens	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3	1:Experimental evidence at protein level	6.01	1.0000	0.9990	6	0	0	10	0	0	3.00229856E8	0	0			
sp|Q93096|TP4A1_HUMAN	Q93096	TP4A1_HUMAN	PTP4A1	173	Homo sapiens	Protein tyrosine phosphatase type IVA 1	1:Experimental evidence at protein level	17.92	1.0000	0.9990	3	0	0	6	0	0	7.5381491E8	0	0			
sp|Q93100|KPBB_HUMAN	Q93100	KPBB_HUMAN	PHKB	1093	Homo sapiens	Phosphorylase b kinase regulatory subunit beta	1:Experimental evidence at protein level	8.60	1.0000	0.9990	8	8	8	10	10	10	1.12482928E8	1.12482928E8	1.12482928E8			
sp|Q969E2|SCAM4_HUMAN	Q969E2	SCAM4_HUMAN	SCAMP4	229	Homo sapiens	Secretory carrier-associated membrane protein 4	1:Experimental evidence at protein level	15.72	1.0000	0.9990	2	2	2	4	4	4	1.5207664E8	1.5207664E8	1.5207664E8	7C(57.0214),7C(57.0214)		
sp|Q969E4|TCAL3_HUMAN	Q969E4	TCAL3_HUMAN	TCEAL3	200	Homo sapiens	Transcription elongation factor A protein-like 3	1:Experimental evidence at protein level	19.50	1.0000	0.9990	3	1	3	6	2	6	2.7270656E8	8.2941872E7	2.7270656E8	1M(15.9949)		
sp|Q969E8|TSR2_HUMAN	Q969E8	TSR2_HUMAN	TSR2	191	Homo sapiens	Pre-rRNA-processing protein TSR2 homolog	1:Experimental evidence at protein level	4.71	1.0000	0.9990	1	1	1	1	1	1	4838024.5	4838024.5	4838024.5	5C(57.0214)		
sp|Q969G3|SMCE1_HUMAN	Q969G3	SMCE1_HUMAN	SMARCE1	411	Homo sapiens	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	1:Experimental evidence at protein level	23.60	1.0000	0.9990	6	6	6	9	9	9	6.3003952E7	6.3003952E7	6.3003952E7	19M(15.9949)		
sp|Q969H8|MYDGF_HUMAN	Q969H8	MYDGF_HUMAN	MYDGF	173	Homo sapiens	Myeloid-derived growth factor	1:Experimental evidence at protein level	13.87	1.0000	0.9990	2	2	2	4	4	4	2.13371072E8	2.13371072E8	2.13371072E8			
sp|Q969M7|UBE2F_HUMAN	Q969M7	UBE2F_HUMAN	UBE2F	185	Homo sapiens	NEDD8-conjugating enzyme UBE2F	1:Experimental evidence at protein level	10.27	1.0000	0.9990	1	1	1	1	1	1	0	0	0	3C(57.0214)		
sp|Q969N2|PIGT_HUMAN	Q969N2	PIGT_HUMAN	PIGT	578	Homo sapiens	GPI transamidase component PIG-T	1:Experimental evidence at protein level	5.54	1.0000	0.9990	3	3	3	3	3	3	5.510102E7	5.510102E7	5.510102E7	6C(57.0214)		
sp|Q969P0|IGSF8_HUMAN	Q969P0	IGSF8_HUMAN	IGSF8	613	Homo sapiens	Immunoglobulin superfamily member 8	1:Experimental evidence at protein level	20.55	1.0000	0.9990	11	11	11	14	14	14	1.28865632E8	1.28865632E8	1.28865632E8	11C(57.0214),11C(57.0214),13C(57.0214),13C(57.0214)		
sp|Q969Q0|RL36L_HUMAN	Q969Q0	RL36L_HUMAN	RPL36AL	106	Homo sapiens	Ribosomal protein eL42-like	1:Experimental evidence at protein level	15.09	1.0000	0.9990	2	0	2	4	0	4	8.1945424E7	0	8.1945424E7	3C(57.0214), 8C(57.0214),3C(57.0214), 8C(57.0214)		
sp|Q969Q5|RAB24_HUMAN	Q969Q5	RAB24_HUMAN	RAB24	203	Homo sapiens	Ras-related protein Rab-24	1:Experimental evidence at protein level	6.90	1.0000	0.9990	1	1	1	1	1	1	0	0	0			
sp|Q969R2|OSBP2_HUMAN	Q969R2	OSBP2_HUMAN	OSBP2	916	Homo sapiens	Oxysterol-binding protein 2	1:Experimental evidence at protein level	1.75	1.0000	0.9990	1	0	0	4	0	0	4.358358E7	0	0			
sp|Q969S2|NEIL2_HUMAN	Q969S2	NEIL2_HUMAN	NEIL2	332	Homo sapiens	Endonuclease 8-like 2	1:Experimental evidence at protein level	4.82	1.0000	0.9990	1	1	1	1	1	1	9487091.0	9487091.0	9487091.0			
sp|Q969S9|RRF2M_HUMAN	Q969S9	RRF2M_HUMAN	GFM2	779	Homo sapiens	Ribosome-releasing factor 2, mitochondrial	1:Experimental evidence at protein level	1.80	1.0000	0.9990	1	1	1	1	1	1	5140302.0	5140302.0	5140302.0			
sp|Q969T3|SNX21_HUMAN	Q969T3	SNX21_HUMAN	SNX21	373	Homo sapiens	Sorting nexin-21	1:Experimental evidence at protein level	4.29	1.0000	0.9990	1	1	1	1	1	1	0	0	0			
sp|Q969T7|5NT3B_HUMAN	Q969T7	5NT3B_HUMAN	NT5C3B	300	Homo sapiens	7-methylguanosine phosphate-specific 5'-nucleotidase	1:Experimental evidence at protein level	6.67	1.0000	0.9990	2	2	2	2	2	2	7786993.0	7786993.0	7786993.0			
sp|Q969T9|WBP2_HUMAN	Q969T9	WBP2_HUMAN	WBP2	261	Homo sapiens	WW domain-binding protein 2	1:Experimental evidence at protein level	16.86	1.0000	0.9990	5	5	5	5	5	5	8.821472E7	8.821472E7	8.821472E7	1M(15.9949)		
sp|Q969V3|NCLN_HUMAN	Q969V3	NCLN_HUMAN	NCLN	563	Homo sapiens	BOS complex subunit NCLN	1:Experimental evidence at protein level	18.47	1.0000	0.9990	9	9	9	11	11	11	8.147748E7	8.147748E7	8.147748E7			
sp|Q969X1|LFG3_HUMAN	Q969X1	LFG3_HUMAN	TMBIM1	311	Homo sapiens	Protein lifeguard 3	1:Experimental evidence at protein level	4.82	1.0000	0.9990	2	2	2	3	3	3	5.635532E7	5.635532E7	5.635532E7			
sp|Q969X5|ERGI1_HUMAN	Q969X5	ERGI1_HUMAN	ERGIC1	290	Homo sapiens	Endoplasmic reticulum-Golgi intermediate compartment protein 1	1:Experimental evidence at protein level	20.34	1.0000	0.9990	7	7	7	8	8	8	2.29140688E8	2.29140688E8	2.29140688E8			
sp|Q969X6|UTP4_HUMAN	Q969X6	UTP4_HUMAN	UTP4	686	Homo sapiens	U3 small nucleolar RNA-associated protein 4 homolog	1:Experimental evidence at protein level	2.04	1.0000	0.9990	1	1	1	1	1	1	0	0	0			
sp|Q969Z3|MARC2_HUMAN	Q969Z3	MARC2_HUMAN	MTARC2	335	Homo sapiens	Mitochondrial amidoxime reducing component 2	1:Experimental evidence at protein level	32.24	1.0000	0.9990	10	9	10	17	16	17	6.3999027E8	6.3999027E8	6.3999027E8	1C(57.0214),1C(57.0214),9C(57.0214),9C(57.0214)		
sp|Q96A00|PP14A_HUMAN	Q96A00	PP14A_HUMAN	PPP1R14A	147	Homo sapiens	Protein phosphatase 1 regulatory subunit 14A	1:Experimental evidence at protein level	10.88	1.0000	0.9990	1	1	1	2	2	2	3.0783642E7	3.0783642E7	3.0783642E7	2C(57.0214),2C(57.0214),2C(57.0214)		
sp|Q96A08|H2B1A_HUMAN	Q96A08	H2B1A_HUMAN	H2BC1	127	Homo sapiens	Histone H2B type 1-A	1:Experimental evidence at protein level	32.28	1.0000	0.9990	9	5	9	34	16	34	3.7458805E10	7.0604486E8	3.7458805E10			
sp|Q96A23|CPNE4_HUMAN	Q96A23	CPNE4_HUMAN	CPNE4	557	Homo sapiens	Copine-4	1:Experimental evidence at protein level	1.62	1.0000	0.9990	1	0	0	6	0	0	1.41972646E9	0	0			
sp|Q96A26|F162A_HUMAN	Q96A26	F162A_HUMAN	FAM162A	154	Homo sapiens	Protein FAM162A	1:Experimental evidence at protein level	35.06	1.0000	0.9990	8	8	8	13	13	13	5.4064595E8	5.4064595E8	5.4064595E8			
sp|Q96A33|CCD47_HUMAN	Q96A33	CCD47_HUMAN	CCDC47	483	Homo sapiens	PAT complex subunit CCDC47	1:Experimental evidence at protein level	21.33	1.0000	0.9990	11	11	11	20	20	20	2.20943472E8	2.20943472E8	2.20943472E8	13C(57.0214),13C(57.0214),2C(57.0214), 3C(57.0214),2C(57.0214), 3C(57.0214),9C(57.0214),9C(57.0214)		
sp|Q96A57|TM230_HUMAN	Q96A57	TM230_HUMAN	TMEM230	120	Homo sapiens	Transmembrane protein 230	1:Experimental evidence at protein level	9.17	1.0000	0.9990	1	1	1	2	2	2	1.1101578E7	1.1101578E7	1.1101578E7			
sp|Q96A65|EXOC4_HUMAN	Q96A65	EXOC4_HUMAN	EXOC4	974	Homo sapiens	Exocyst complex component 4	1:Experimental evidence at protein level	23.51	1.0000	0.9990	22	22	22	25	25	25	1.61437296E8	1.61437296E8	1.61437296E8			
sp|Q96A73|P33MX_HUMAN	Q96A73	P33MX_HUMAN	KIAA1191	305	Homo sapiens	Putative monooxygenase p33MONOX	1:Experimental evidence at protein level	3.93	1.0000	0.9990	1	1	1	1	1	1	0	0	0			
sp|Q96AA3|RFT1_HUMAN	Q96AA3	RFT1_HUMAN	RFT1	541	Homo sapiens	Protein RFT1 homolog	1:Experimental evidence at protein level	4.62	1.0000	0.9990	3	3	3	4	4	4	2.4656608E7	2.4656608E7	2.4656608E7			
sp|Q96AB3|ISOC2_HUMAN	Q96AB3	ISOC2_HUMAN	ISOC2	205	Homo sapiens	Isochorismatase domain-containing protein 2	1:Experimental evidence at protein level	21.46	1.0000	0.9990	3	3	3	4	4	4	2.23114256E8	2.23114256E8	2.23114256E8	2C(57.0214),2C(57.0214),2C(57.0214),N-term(42.0106)		
sp|Q96AC1|FERM2_HUMAN	Q96AC1	FERM2_HUMAN	FERMT2	680	Homo sapiens	Fermitin family homolog 2	1:Experimental evidence at protein level	30.74	1.0000	0.9990	21	19	21	35	34	35	6.1867565E8	6.1867565E8	6.1867565E8	10C(57.0214), 5C(57.0214),10C(57.0214), 5C(57.0214),11M(15.9949),11M(15.9949),1M(15.9949), 23C(57.0214),23C(57.0214),23C(57.0214),2C(57.0214),2C(57.0214),9C(57.0214),9C(57.0214)		
sp|Q96AE4|FUBP1_HUMAN	Q96AE4	FUBP1_HUMAN	FUBP1	644	Homo sapiens	Far upstream element-binding protein 1	1:Experimental evidence at protein level	24.38	1.0000	0.9990	12	9	9	23	14	14	4.02791072E8	2.87871296E8	2.87871296E8	2C(57.0214),2C(57.0214),2C(57.0214), 3M(15.9949)		
sp|Q96AG4|LRC59_HUMAN	Q96AG4	LRC59_HUMAN	LRRC59	307	Homo sapiens	Leucine-rich repeat-containing protein 59	1:Experimental evidence at protein level	39.74	1.0000	0.9990	9	9	9	12	12	12	5.9263283E8	5.9263283E8	5.9263283E8	10C(57.0214),8C(57.0214),8C(57.0214),9C(57.0214),9C(57.0214)		
sp|Q96AQ6|PBIP1_HUMAN	Q96AQ6	PBIP1_HUMAN	PBXIP1	731	Homo sapiens	Pre-B-cell leukemia transcription factor-interacting protein 1	1:Experimental evidence at protein level	24.76	1.0000	0.9990	18	18	18	28	28	28	7.1662656E8	7.1662656E8	7.1662656E8	11C(57.0214), 5C(57.0214),11C(57.0214), 5C(57.0214),13C(57.0214), 7C(57.0214),8C(57.0214)		
sp|Q96AQ8|MCUR1_HUMAN	Q96AQ8	MCUR1_HUMAN	MCUR1	359	Homo sapiens	Mitochondrial calcium uniporter regulator 1	1:Experimental evidence at protein level	3.34	1.0000	0.9990	1	1	1	1	1	1	6269155.0	6269155.0	6269155.0			
sp|Q96AT9|RPE_HUMAN	Q96AT9	RPE_HUMAN	RPE	228	Homo sapiens	Ribulose-phosphate 3-epimerase	1:Experimental evidence at protein level	3.07	1.0000	0.9990	1	0	1	2	0	2	3.8433616E7	0	3.8433616E7			
sp|Q96AX1|VP33A_HUMAN	Q96AX1	VP33A_HUMAN	VPS33A	596	Homo sapiens	Vacuolar protein sorting-associated protein 33A	1:Experimental evidence at protein level	12.42	1.0000	0.9990	9	9	9	15	15	15	1.5239256E8	1.5239256E8	1.5239256E8	2C(57.0214),3C(57.0214), 8C(57.0214),N-term(42.0106),N-term(42.0106),N-term(42.0106)		
sp|Q96AX9|MIB2_HUMAN	Q96AX9	MIB2_HUMAN	MIB2	955	Homo sapiens	E3 ubiquitin-protein ligase MIB2	1:Experimental evidence at protein level	0.73	1.0000	0.9990	1	1	1	1	1	1	0	0	0			
sp|Q96AY3|FKB10_HUMAN	Q96AY3	FKB10_HUMAN	FKBP10	582	Homo sapiens	Peptidyl-prolyl cis-trans isomerase FKBP10	1:Experimental evidence at protein level	22.16	1.0000	0.9990	12	11	12	21	21	21	2.83510592E8	2.83465248E8	2.83510592E8	10C(57.0214),10C(57.0214),12M(15.9949), 13C(57.0214),13C(57.0214),13C(57.0214),6C(57.0214)		
sp|Q96B26|EXOS8_HUMAN	Q96B26	EXOS8_HUMAN	EXOSC8	276	Homo sapiens	Exosome complex component RRP43	1:Experimental evidence at protein level	3.99	1.0000	0.9990	1	1	1	2	2	2	1.6135508E7	1.6135508E7	1.6135508E7	8C(57.0214),8C(57.0214)		
sp|Q96B36|AKTS1_HUMAN	Q96B36	AKTS1_HUMAN	AKT1S1	256	Homo sapiens	Proline-rich AKT1 substrate 1	1:Experimental evidence at protein level	4.69	1.0000	0.9990	1	1	1	2	2	2	3.7923628E7	3.7923628E7	3.7923628E7			
sp|Q96B54|ZN428_HUMAN	Q96B54	ZN428_HUMAN	ZNF428	188	Homo sapiens	Zinc finger protein 428	1:Experimental evidence at protein level	29.79	1.0000	0.9990	4	4	4	13	13	13	1.6046592E8	1.6046592E8	1.6046592E8	12C(57.0214), 9C(57.0214),12C(57.0214), 9C(57.0214),12C(57.0214), 9C(57.0214),13C(57.0214),2C(57.0214), 3C(57.0214),2C(57.0214), 3C(57.0214),2C(57.0214), 3C(57.0214),2C(57.0214), 3C(57.0214)		
sp|Q96B86|RGMA_HUMAN	Q96B86	RGMA_HUMAN	RGMA	450	Homo sapiens	Repulsive guidance molecule A	1:Experimental evidence at protein level	1.56	1.0000	0.9990	1	1	1	2	2	2	5.2833536E7	5.2833536E7	5.2833536E7			
sp|Q96BJ3|AIDA_HUMAN	Q96BJ3	AIDA_HUMAN	AIDA	306	Homo sapiens	Axin interactor, dorsalization-associated protein	1:Experimental evidence at protein level	19.93	1.0000	0.9990	5	5	5	7	7	7	2.74402688E8	2.74402688E8	2.74402688E8			
sp|Q96BM9|ARL8A_HUMAN	Q96BM9	ARL8A_HUMAN	ARL8A	186	Homo sapiens	ADP-ribosylation factor-like protein 8A	1:Experimental evidence at protein level	41.94	1.0000	0.9990	9	3	3	15	1	1	1.29201408E9	7.1128112E7	7.1128112E7			
sp|Q96BP3|PPWD1_HUMAN	Q96BP3	PPWD1_HUMAN	PPWD1	646	Homo sapiens	Peptidylprolyl isomerase domain and WD repeat-containing protein 1	1:Experimental evidence at protein level	4.02	1.0000	0.9990	3	3	3	2	2	2	3.4285304E7	3.4285304E7	3.4285304E7			
sp|Q96BQ5|CC127_HUMAN	Q96BQ5	CC127_HUMAN	CCDC127	260	Homo sapiens	Coiled-coil domain-containing protein 127	1:Experimental evidence at protein level	7.69	1.0000	0.9990	2	2	2	2	2	2	1.8780492E7	1.8780492E7	1.8780492E7	5C(57.0214)		
sp|Q96BR1|SGK3_HUMAN	Q96BR1	SGK3_HUMAN	SGK3	496	Homo sapiens	Serine/threonine-protein kinase Sgk3	1:Experimental evidence at protein level	1.41	1.0000	0.9990	1	1	1	1	1	1	2433046.2	2433046.2	2433046.2			
sp|Q96BW9|TAM41_HUMAN	Q96BW9	TAM41_HUMAN	TAMM41	452	Homo sapiens	Phosphatidate cytidylyltransferase, mitochondrial	1:Experimental evidence at protein level	10.84	1.0000	0.9990	3	3	3	4	4	4	5.0976184E7	5.0976184E7	5.0976184E7	15C(57.0214),15C(57.0214)		
sp|Q96BX8|MOB3A_HUMAN	Q96BX8	MOB3A_HUMAN	MOB3A	217	Homo sapiens	MOB kinase activator 3A	1:Experimental evidence at protein level	10.60	1.0000	0.9990	2	2	2	3	3	3	7.1382136E7	7.1382136E7	7.1382136E7	13C(57.0214),13C(57.0214),13C(57.0214)		
sp|Q96BY6|DOC10_HUMAN	Q96BY6	DOC10_HUMAN	DOCK10	2186	Homo sapiens	Dedicator of cytokinesis protein 10	1:Experimental evidence at protein level	1.51	1.0000	0.9990	3	3	3	3	3	3	1.1076298E7	1.1076298E7	1.1076298E7			
sp|Q96C01|F136A_HUMAN	Q96C01	F136A_HUMAN	FAM136A	138	Homo sapiens	Protein FAM136A	1:Experimental evidence at protein level	15.94	1.0000	0.9990	3	3	3	4	4	4	3.1397156E7	3.1397156E7	3.1397156E7	N-term(42.0106)		
sp|Q96C19|EFHD2_HUMAN	Q96C19	EFHD2_HUMAN	EFHD2	240	Homo sapiens	EF-hand domain-containing protein D2	1:Experimental evidence at protein level	38.33	1.0000	0.9990	9	7	9	14	8	14	5.6804595E8	4.03317504E8	5.6804595E8	13C(57.0214),7M(15.9949)		
sp|Q96C23|GALM_HUMAN	Q96C23	GALM_HUMAN	GALM	342	Homo sapiens	Galactose mutarotase	1:Experimental evidence at protein level	10.53	1.0000	0.9990	2	2	2	3	3	3	8817537.0	8817537.0	8817537.0	15C(57.0214),5C(57.0214),5C(57.0214)		
sp|Q96C24|SYTL4_HUMAN	Q96C24	SYTL4_HUMAN	SYTL4	671	Homo sapiens	Synaptotagmin-like protein 4	1:Experimental evidence at protein level	3.43	1.0000	0.9990	2	2	2	2	2	2	4666847.5	4666847.5	4666847.5			
sp|Q96C36|P5CR2_HUMAN	Q96C36	P5CR2_HUMAN	PYCR2	320	Homo sapiens	Pyrroline-5-carboxylate reductase 2	1:Experimental evidence at protein level	16.56	1.0000	0.9990	3	2	2	3	2	2	3.369428E7	2.4876E7	2.4876E7	4C(57.0214)		
sp|Q96C86|DCPS_HUMAN	Q96C86	DCPS_HUMAN	DCPS	337	Homo sapiens	m7GpppX diphosphatase	1:Experimental evidence at protein level	36.20	1.0000	0.9990	10	10	10	19	19	19	3.62021056E8	3.62021056E8	3.62021056E8	15C(57.0214),9C(57.0214),9C(57.0214),N-term(42.0106),N-term(42.0106)		
sp|Q96CM8|ACSF2_HUMAN	Q96CM8	ACSF2_HUMAN	ACSF2	615	Homo sapiens	Medium-chain acyl-CoA ligase ACSF2, mitochondrial	1:Experimental evidence at protein level	31.71	1.0000	0.9990	15	15	15	26	26	26	3.05541696E8	3.05541696E8	3.05541696E8	11C(57.0214),11C(57.0214),15C(57.0214),3C(57.0214),3C(57.0214),6C(57.0214), 8C(57.0214),8C(57.0214),8C(57.0214)		
sp|Q96CN7|ISOC1_HUMAN	Q96CN7	ISOC1_HUMAN	ISOC1	298	Homo sapiens	Isochorismatase domain-containing protein 1	1:Experimental evidence at protein level	30.20	1.0000	0.9990	6	6	6	11	11	11	3.53950752E8	3.53950752E8	3.53950752E8			
sp|Q96CN9|GCC1_HUMAN	Q96CN9	GCC1_HUMAN	GCC1	775	Homo sapiens	GRIP and coiled-coil domain-containing protein 1	1:Experimental evidence at protein level	1.16	1.0000	0.9990	2	2	2	1	1	1	3.83448E7	3.83448E7	3.83448E7			
sp|Q96CS3|FAF2_HUMAN	Q96CS3	FAF2_HUMAN	FAF2	445	Homo sapiens	FAS-associated factor 2	1:Experimental evidence at protein level	25.17	1.0000	0.9990	8	8	8	12	12	12	2.41098224E8	2.41098224E8	2.41098224E8	16C(57.0214),4C(57.0214),4C(57.0214),6C(57.0214)		
sp|Q96CS7|PKHB2_HUMAN	Q96CS7	PKHB2_HUMAN	PLEKHB2	222	Homo sapiens	Pleckstrin homology domain-containing family B member 2	1:Experimental evidence at protein level	3.15	1.0000	0.9990	1	1	1	1	1	1	0	0	0			
sp|Q96CT7|CC124_HUMAN	Q96CT7	CC124_HUMAN	CCDC124	223	Homo sapiens	Coiled-coil domain-containing protein 124	1:Experimental evidence at protein level	34.98	1.0000	0.9990	7	7	7	13	13	13	3.70991456E8	3.70991456E8	3.70991456E8			
sp|Q96CW1|AP2M1_HUMAN	Q96CW1	AP2M1_HUMAN	AP2M1	435	Homo sapiens	AP-2 complex subunit mu	1:Experimental evidence at protein level	39.54	1.0000	0.9990	16	16	16	43	43	43	1.00703885E9	1.00703885E9	1.00703885E9	13C(57.0214), 8C(57.0214),13C(57.0214), 8C(57.0214),13C(57.0214), 8C(57.0214),14C(57.0214),14C(57.0214),14C(57.0214),14C(57.0214),14C(57.0214),14C(57.0214), 15M(15.9949),14M(15.9949),14M(15.9949),2C(57.0214),2C(57.0214),2C(57.0214),8M(15.9949),8M(15.9949),9C(57.0214),9C(57.0214)		
sp|Q96CW5|GCP3_HUMAN	Q96CW5	GCP3_HUMAN	TUBGCP3	907	Homo sapiens	Gamma-tubulin complex component 3	1:Experimental evidence at protein level	2.65	1.0000	0.9990	2	2	2	2	2	2	2.6957176E7	2.6957176E7	2.6957176E7			
sp|Q96CX2|KCD12_HUMAN	Q96CX2	KCD12_HUMAN	KCTD12	325	Homo sapiens	BTB/POZ domain-containing protein KCTD12	1:Experimental evidence at protein level	51.38	1.0000	0.9990	13	11	13	30	26	30	8.7135891E8	7.4677658E8	8.7135891E8			
sp|Q96D46|NMD3_HUMAN	Q96D46	NMD3_HUMAN	NMD3	503	Homo sapiens	60S ribosomal export protein NMD3	1:Experimental evidence at protein level	5.17	1.0000	0.9990	2	2	2	2	2	2	1.63894496E8	1.63894496E8	1.63894496E8	11C(57.0214), 7C(57.0214),11C(57.0214), 7C(57.0214)		
sp|Q96D53|COQ8B_HUMAN	Q96D53	COQ8B_HUMAN	COQ8B	544	Homo sapiens	Atypical kinase COQ8B, mitochondrial	1:Experimental evidence at protein level	1.84	1.0000	0.9990	1	1	1	1	1	1	4668678.5	4668678.5	4668678.5			
