Protein.Group	Protein.Names	Genes	First.Protein.Description	S:\Proteomics\CMB\CMB-1515\T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d	S:\Proteomics\CMB\CMB-1515\T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d	S:\Proteomics\CMB\CMB-1515\T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d	S:\Proteomics\CMB\CMB-1515\T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d	S:\Proteomics\CMB\CMB-1515\T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d	S:\Proteomics\CMB\CMB-1515\T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d
P11216	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form	6498.96		3462.12	3964.14	2863.52	5438.92
P11217	PYGM_HUMAN	PYGM	Glycogen phosphorylase, muscle form		7803.59			1012.07	
P11217;P11216	PYGB_HUMAN;PYGM_HUMAN	PYGB;PYGM	Glycogen phosphorylase, brain form	2899.79	13829.5	2765.08	4110.02	2303.37	3470.55
P11279	LAMP1_HUMAN	LAMP1	Lysosome-associated membrane glycoprotein 1	5919.88	13959.3	9229.08	11724.7	8487.72	13886.3
P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	4723.66					
P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3	6878.01			6522.89	6937.06	
P11940;Q9H361	PABP1_HUMAN;PABP3_HUMAN	PABPC1;PABPC3	Polyadenylate-binding protein 1		1389.89	1370.09	1744.68	1161.39	
P12035	K2C3_HUMAN	KRT3	Keratin, type II cytoskeletal 3		2144.31	6187.93	2294.31	1507.68	4101.17
P12036	NFH_HUMAN	NEFH	Neurofilament heavy polypeptide	9028.97					
P12081	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	1997.17	6473.28	9756	4357.46	3198.51	5089.42
P12107	COBA1_HUMAN	COL11A1	Collagen alpha-1(XI) chain	56111.8			20311.2		
P12109	CO6A1_HUMAN	COL6A1	Collagen alpha-1(VI) chain	359327	54182.4	131243	154581	348363	22400.3
P12110	CO6A2_HUMAN	COL6A2	Collagen alpha-2(VI) chain	379864	57299.6	128024	159190	327590	24978.1
P12111	CO6A3_HUMAN	COL6A3	Collagen alpha-3(VI) chain	415668	70559.7	153583	194033	407450	33149.6
P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1			1405	1840.33	2200.76	
P12235;P12236	ADT1_HUMAN;ADT3_HUMAN	SLC25A4;SLC25A6	ADP/ATP translocase 1	27668.8	12974.2	26647.1	40901.3	24469.7	16885.2
P12273	PIP_HUMAN	PIP	Prolactin-inducible protein	3755.45	38502.8	38486	34044.1	23238.9	142684
P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	52568.5			26588.5		35540.4
P12645;P55107	BMP3_HUMAN;GDF10_HUMAN	BMP3;GDF10	Bone morphogenetic protein 3	4341.19					
P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	64851.5	20968.8	34454.8	55213.7	50333	37162.4
P12829	MYL4_HUMAN	MYL4	Myosin light chain 4	8139.55		3610.4	6547.1	2753.79	
P12883	MYH7_HUMAN	MYH7	Myosin-7	3833.91	15708.2	8600.92	13565.8	10008.8	11072.8
P12883;P12882	MYH1_HUMAN;MYH7_HUMAN	MYH1;MYH7	Myosin-1		3299.84				2324
P13473	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2	2642.88	9444.51	9711.04	10530.5	6283.72	11489.7
P13611	CSPG2_HUMAN	VCAN	Versican core protein	25774.2	68644.3	48907.2		101251	
P13639	EF2_HUMAN	EEF2	Elongation factor 2	11939.2	22873.7	24752.9	22284.6	17152.2	11762.9
P13639;Q15029	EF2_HUMAN;U5S1_HUMAN	EEF2;EFTUD2	Elongation factor 2	17227.2	18383.9	23552.3	17554.7	24545.7	18629.5
P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	1.26405e+06	6.83171e+06	4.78131e+06	4.96197e+06	4.61062e+06	7.31472e+06
P13645;P08779;P02533	K1C10_HUMAN;K1C14_HUMAN;K1C16_HUMAN	KRT10;KRT14;KRT16	Keratin, type I cytoskeletal 14		16098.8	6581.75	3279.31	9685.08	18327.7
P13645;P08779;P02533;Q7Z3Z0;Q7Z3Y8;Q7Z3Y7;Q7Z3Y9	K1C10_HUMAN;K1C14_HUMAN;K1C16_HUMAN;K1C25_HUMAN;K1C26_HUMAN;K1C27_HUMAN;K1C28_HUMAN	KRT10;KRT14;KRT16;KRT25;KRT26;KRT27;KRT28	Keratin, type I cytoskeletal 14	809325	3.74095e+06	2.73803e+06	1.8078e+06	2.66452e+06	3.13143e+06
P13645;P08779;Q04695;P02533;P13646;P19012;Q15323;Q7Z3Y7;Q14525;Q2M2I5;P08727;O76013	K1C10_HUMAN;K1C13_HUMAN;K1C14_HUMAN;K1C15_HUMAN;K1C16_HUMAN;K1C17_HUMAN;K1C19_HUMAN;K1C24_HUMAN;K1C28_HUMAN;K1H1_HUMAN;KRT36_HUMAN;KT33B_HUMAN	KRT10;KRT13;KRT14;KRT15;KRT16;KRT17;KRT19;KRT24;KRT28;KRT31;KRT33B;KRT36	Keratin, type I cuticular Ha6	336350	8.32772e+06	5.50702e+06	6.96831e+06	6.2966e+06	6.30941e+06
P13645;P08779;Q04695;P02533;P19012;P08727;Q99456	K1C10_HUMAN;K1C12_HUMAN;K1C14_HUMAN;K1C15_HUMAN;K1C16_HUMAN;K1C17_HUMAN;K1C19_HUMAN	KRT10;KRT12;KRT14;KRT15;KRT16;KRT17;KRT19	Keratin, type I cytoskeletal 14	5237.83	257059	215131	162050	1.82868e+06	2.40285e+06
P13645;P13646	K1C10_HUMAN;K1C13_HUMAN	KRT10;KRT13	Keratin, type I cytoskeletal 10	69810.4	782951	526375	321603	899049	1.44221e+06
P13645;P13646;P19012;Q7Z3Y7;Q2M2I5	K1C10_HUMAN;K1C13_HUMAN;K1C15_HUMAN;K1C24_HUMAN;K1C28_HUMAN	KRT10;KRT13;KRT15;KRT24;KRT28	Keratin, type I cytoskeletal 10			8893.55	12211.4	5986.21	21478.4
P13645;P13646;Q2M2I5	K1C10_HUMAN;K1C13_HUMAN;K1C24_HUMAN	KRT10;KRT13;KRT24	Keratin, type I cytoskeletal 10	988622	3.88142e+06	3.10608e+06	3.19956e+06	2.55534e+06	3.66026e+06
P13645;Q7Z3Y7	K1C10_HUMAN;K1C28_HUMAN	KRT10;KRT28	Keratin, type I cytoskeletal 10	81280.9	562948	741545	341780	340472	615374
P13645;Q7Z3Z0;Q7Z3Y8;Q7Z3Y7	K1C10_HUMAN;K1C25_HUMAN;K1C27_HUMAN;K1C28_HUMAN	KRT10;KRT25;KRT27;KRT28	Keratin, type I cytoskeletal 10	708081	5.5264e+06	3.63937e+06	1.86684e+06	2.03762e+06	2.73572e+06
P13646	K1C13_HUMAN	KRT13	Keratin, type I cytoskeletal 13		546670				6635.57
P13646;P08727	K1C13_HUMAN;K1C19_HUMAN	KRT13;KRT19	Keratin, type I cytoskeletal 19		4327.25				
P13646;P19012	K1C13_HUMAN;K1C15_HUMAN	KRT13;KRT15	Keratin, type I cytoskeletal 13	52409.4	446461	71392.1	129676	14790.3	191956
P13646;P19012;Q99456	K1C12_HUMAN;K1C13_HUMAN;K1C15_HUMAN	KRT12;KRT13;KRT15	Keratin, type I cytoskeletal 13		27715.9	34640.5	93569.2	3020.72	104885
P13647	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5	410411	2.39572e+06	2.94979e+06	1.76302e+06	1.7273e+06	2.28065e+06
P13647;O95678	K2C5_HUMAN;K2C75_HUMAN	KRT5;KRT75	Keratin, type II cytoskeletal 75	5013.18	13761.2	18474	7844.98	23778.5	17028.1
P13647;P02538;P48668	K2C5_HUMAN;K2C6A_HUMAN;K2C6C_HUMAN	KRT5;KRT6A;KRT6C	Keratin, type II cytoskeletal 6A	30101	145886	145869	63800.1	144849	188601
P13647;P04259;P02538;P48668	K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN	KRT5;KRT6A;KRT6B;KRT6C	Keratin, type II cytoskeletal 6A	61506.6	639018	741805	310896	509301	1.03306e+06
P13647;P04259;Q14CN4;P02538;P48668;O95678	K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN;K2C72_HUMAN;K2C75_HUMAN	KRT5;KRT6A;KRT6B;KRT6C;KRT72;KRT75	Keratin, type II cytoskeletal 75	45354.9	139303	219410	215800	80471.6	250647
P13647;P19013	K2C4_HUMAN;K2C5_HUMAN	KRT4;KRT5	Keratin, type II cytoskeletal 5	9353.48	150171	49281.9	21729	102647	224964
P13647;Q5XKE5;P04259;P02538;P48668	K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN;K2C79_HUMAN	KRT5;KRT6A;KRT6B;KRT6C;KRT79	Keratin, type II cytoskeletal 6A		1.16914e+06	981976	558809	926733	1.0079e+06
P13671	CO6_HUMAN	C6	Complement component C6	6331.35		2113.48		8518.67	
P13716	HEM2_HUMAN	ALAD	Delta-aminolevulinic acid dehydratase			7281.86			17180.2
P13796	PLSL_HUMAN	LCP1	Plastin-2		5607.71				
P13797	PLST_HUMAN	PLS3	Plastin-3	1305.1	2242.39	2036.61	1122.74	2686.2	1089.35
P13797;P13796	PLSL_HUMAN;PLST_HUMAN	LCP1;PLS3	Plastin-2	1937.41	8003.76	7797.29	5042.08	10437.5	4350.93
P13928;Q5VT79	ANXA8_HUMAN;AXA81_HUMAN	ANXA8;ANXA8L1	Annexin A8		1699.06	1978.2		2500.58	
P13929	ENOB_HUMAN	ENO3	Beta-enolase	609.367	6730.3	12003.9	8687.36	4968.96	9662.67
P13987	CD59_HUMAN	CD59	CD59 glycoprotein	6257.59	4410.84	3805.11	4687.59	4545.55	2583.9
P14209	CD99_HUMAN	CD99	CD99 antigen	3386.74		1935.4	4286.42	6154.2	
P14543	NID1_HUMAN	NID1	Nidogen-1	45039.9	4772.86	20907	25549.4	25333.1	15220.7
P14543;Q14112	NID1_HUMAN;NID2_HUMAN	NID1;NID2	Nidogen-1			1779.72	1387.76	2214.06	1109.7
P14555	PA2GA_HUMAN	PLA2G2A	Phospholipase A2, membrane associated	5803.46	3692.25			1228.45	
P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	36118.5	41445.3	64886.1	40462.9	46494.8	30851.1
P14618;P30613	KPYM_HUMAN;KPYR_HUMAN	PKLR;PKM	Pyruvate kinase PKM	4830.14	32627.3	32312.8	27970.6	27555	25016.4
P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	13158.3	15273	13051	13910.4	14893.1	8325.82
P14625;P08238	ENPL_HUMAN;HS90B_HUMAN	HSP90AB1;HSP90B1	Heat shock protein HSP 90-beta	21545.2	21970.4	31612.4	32203.1	29215.7	9201.76
P14625;Q58FF3	ENPLL_HUMAN;ENPL_HUMAN	HSP90B1;HSP90B2P	Endoplasmin	1498.24			3255.49		
P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme		9122.26	9721.79	12935.8	5109.6	
P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	1860.12		1654.94	3550.04		
P14923	PLAK_HUMAN	JUP	Junction plakoglobin	24266.6	169382	244825	114404	118050	140223
P14923;P35222	CTNB1_HUMAN;PLAK_HUMAN	CTNNB1;JUP	Junction plakoglobin	3084.26	55538.8	69124.3	28528.9	38786.8	52161.7
P15104	GLNA_HUMAN	GLUL	Glutamine synthetase			7700.61	8392.15	5768.07	6606.57
P15259;P18669	PGAM1_HUMAN;PGAM2_HUMAN	PGAM1;PGAM2	Phosphoglycerate mutase 2		4791.82	9041.5	8015.01	13741.3	4276.13
P15309	PPAP_HUMAN	ACP3	Prostatic acid phosphatase		667.65	735.505			642.366
P15502	ELN_HUMAN	ELN	Elastin	26142.3		2008.76	4327.72	1879.87	
P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	2452.27		4728.89			
P15531;P22392	NDKA_HUMAN;NDKB_HUMAN	NME1;NME2	Nucleoside diphosphate kinase A	6208.09	10412.5	11395.3	9743.56	7668.13	6067.41
P15880	RS2_HUMAN	RPS2	Small ribosomal subunit protein uS5		6840.55	5082.8	7331.77	4251.36	
P15924	DESP_HUMAN	DSP	Desmoplakin	64859	297268	362394	242388	213177	340126
P16152;O75828	CBR1_HUMAN;CBR3_HUMAN	CBR1;CBR3	Carbonyl reductase [NADPH] 3	4485.92	1233.48	1602.85	3428.93	3970.38	
P16401	H15_HUMAN	H1-5	Histone H1.5			20127.7		35539	
P16403	H12_HUMAN	H1-2	Histone H1.2	16812.8	1509.75	4273.08	12406.3	7735.08	3483.32
P16930	FAAA_HUMAN	FAH	Fumarylacetoacetase			4794.36	4722.27		2048
P17050	NAGAB_HUMAN	NAGA	Alpha-N-acetylgalactosaminidase						5872.59
P17174	AATC_HUMAN	GOT1	Aspartate aminotransferase, cytoplasmic	3391.42	9289.33	7091.83			8313.89
P17612;P22694	KAPCA_HUMAN;KAPCB_HUMAN	PRKACA;PRKACB	cAMP-dependent protein kinase catalytic subunit alpha	4704.95					
P17655	CAN2_HUMAN	CAPN2	Calpain-2 catalytic subunit	8962.68	3450.93	3580.47	7857.92	4047.76	
P17661	DESM_HUMAN	DES	Desmin	209943	6292.38	14872.4	193368	12307.6	102562
P17844;Q92841	DDX17_HUMAN;DDX5_HUMAN	DDX17;DDX5	Probable ATP-dependent RNA helicase DDX5	1099.82	2236.55	2975.6	3910.74	2748.27	979.916
P17900	SAP3_HUMAN	GM2A	Ganglioside GM2 activator	3375.9	27927.9	27322.7	19901.2	6379.4	21099
P17931	LEG3_HUMAN	LGALS3	Galectin-3	22051.3	19831.4	26979.5	26156.8	19524.8	16696.2
P18085;P61204;P84077	ARF1_HUMAN;ARF3_HUMAN;ARF4_HUMAN	ARF1;ARF3;ARF4	ADP-ribosylation factor 4	9493.21	9166.37	5046.13	16758.8	10599.2	10898.4
P18206	VINC_HUMAN	VCL	Vinculin	74884.6	30531.1	73893.4	63599.8	102175	36143
P18428	LBP_HUMAN	LBP	Lipopolysaccharide-binding protein			718.55		929.385	
P18510	IL1RA_HUMAN	IL1RN	Interleukin-1 receptor antagonist protein		5613.84	2002.35			
P18564	ITB6_HUMAN	ITGB6	Integrin beta-6		5675.98	2137.22		11950.7	4776.65
P19012;Q99456	K1C12_HUMAN;K1C15_HUMAN	KRT12;KRT15	Keratin, type I cytoskeletal 15		468006		451949		
P19013	K2C4_HUMAN	KRT4	Keratin, type II cytoskeletal 4		307511	58633.9	28271.3	39458.1	254863
P19367;Q2TB90	HKDC1_HUMAN;HXK1_HUMAN	HK1;HKDC1	Hexokinase-1	2766.29		5935.45		5466.51	
P19823	ITIH2_HUMAN	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	3589.37	6806.21	7942.33	6542.63	10496.6	4374.25
P19827	ITIH1_HUMAN	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1	5476.28	3630.81	18813.1	3720.1	24128.3	
P19835	CEL_HUMAN	CEL	Bile salt-activated lipase				40879.7		
P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase	788.849	2646.59		1633.14	801.054	
P20073	ANXA7_HUMAN	ANXA7	Annexin A7	5800.77	6118.57	8365.66	8685.48	12469.5	5952.07
P20336;P20337;Q96E17	RAB3A_HUMAN;RAB3B_HUMAN;RAB3C_HUMAN	RAB3A;RAB3B;RAB3C	Ras-related protein Rab-3A		5148.74	6165.32	5196.32	6596.85	4422.52
P20339;P51148;P61020	RAB5A_HUMAN;RAB5B_HUMAN;RAB5C_HUMAN	RAB5A;RAB5B;RAB5C	Ras-related protein Rab-5A		2111.01	1241.9	3118.74		
P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	7058.14	14596.5	13601.7	14602.7	12384.7	29236.5
P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	2479.43	4227.83	3849.34	10191.2	6479.4	3808.42
P20774	MIME_HUMAN	OGN	Mimecan	255580	198115	108395	134820	225634	17729.7
P20908	CO5A1_HUMAN	COL5A1	Collagen alpha-1(V) chain	306885	59648.7	58348.2	76380.5	98504.3	23054.2
P20908;P12107	CO5A1_HUMAN;COBA1_HUMAN	COL11A1;COL5A1	Collagen alpha-1(XI) chain	26649.7	8133.79	11834.7		24659.1	3789.67
P20930	FILA_HUMAN	FLG	Filaggrin	21307.9	100687	146757	89079	59965.7	103798
P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	39989.1	26261.4	40178.8	44910.1	46845.9	25507.9
P21333	FLNA_HUMAN	FLNA	Filamin-A	202971	60299.4	156820	180744	214628	84917.8
P21333;O75369	FLNA_HUMAN;FLNB_HUMAN	FLNA;FLNB	Filamin-B	13605.6	5537.68	9048.18	16991.9	48971	13017.5
P21333;Q14315	FLNA_HUMAN;FLNC_HUMAN	FLNA;FLNC	Filamin-A	32676.3	10162.5	44611.6	51495.3	42614.2	21725.7
P21333;Q14315;O75369	FLNA_HUMAN;FLNB_HUMAN;FLNC_HUMAN	FLNA;FLNB;FLNC	Filamin-B	89001.7	21532.1	50064.9	61340.2	79427.7	39836.8
P21397	AOFA_HUMAN	MAOA	Amine oxidase [flavin-containing] A	16097.4			7686.43		5639.61
P21397;P27338	AOFA_HUMAN;AOFB_HUMAN	MAOA;MAOB	Amine oxidase [flavin-containing] A	11181.9					
P21589	5NTD_HUMAN	NT5E	5'-nucleotidase	3628.35					
P21796	VDAC1_HUMAN	VDAC1	Non-selective voltage-gated ion channel VDAC1	4472.64	12493.6	11932.2	9858.89	8437.92	6416.07
P21810	PGS1_HUMAN	BGN	Biglycan	279473	184858	167247	159457	218901	37968.4
P21810;P07585	PGS1_HUMAN;PGS2_HUMAN	BGN;DCN	Decorin	154204	63937.1	61245.2	85631.8	92496.3	16353.4
P21926	CD9_HUMAN	CD9	CD9 antigen	10070.6		4350.57	4162.01		
P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2	32649.2	14302.9	5448.39	28094.5	5916.38	9063.96
P21980;P49221	TGM2_HUMAN;TGM4_HUMAN	TGM2;TGM4	Protein-glutamine gamma-glutamyltransferase 2	15504.9	3885.39	1837.35	11490.7	2628.08	
P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	6218.04					
P22105	TENX_HUMAN	TNXB	Tenascin-X	16625.9		5682.37	7962.92	8671.6	
P22105;Q16473	TENXA_HUMAN;TENX_HUMAN	TNXA;TNXB	Tenascin-X	4495.83					
P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1		1482.86	2123.56	2956.95	2219.57	2322.73
P22352	GPX3_HUMAN	GPX3	Glutathione peroxidase 3			10238.4		10965.9	
P22392	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	1805.77		1128.88	2412.3	1775.42	1690.06
P22528;P35321	SPR1A_HUMAN;SPR1B_HUMAN	SPRR1A;SPRR1B	Cornifin-B	7158.7	38649.2	16919.9		13482.1	
P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	15226.2	6211.39	8839.51	13921.3	9955.49	6605.96
P22626;P09651;Q32P51	RA1L2_HUMAN;ROA1_HUMAN;ROA2_HUMAN	HNRNPA1;HNRNPA1L2;HNRNPA2B1	Heterogeneous nuclear ribonucleoprotein A1	6996.02	1726.36	1472.09	5931.69	3479.16	
P22694	KAPCB_HUMAN	PRKACB	cAMP-dependent protein kinase catalytic subunit beta	993.843					
P22735	TGM1_HUMAN	TGM1	Protein-glutamine gamma-glutamyltransferase K	28134.1	101633	95688.1	79973.7	49549.1	120474
P23142	FBLN1_HUMAN	FBLN1	Fibulin-1	15228.1	9194.26	11304.4	3191.62	13390.4	
P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	3434.93		2421.08		1647.16	
P23246;Q15233	NONO_HUMAN;SFPQ_HUMAN	NONO;SFPQ	Splicing factor, proline- and glutamine-rich	3251.25		8005.05	19653.8	13487.1	3833.95
P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	3822.61	8040.43			4646.15	2961.6
P23396	RS3_HUMAN	RPS3	Small ribosomal subunit protein uS3	5600.68	3508.62	4203.21		3593.89	
P23490	LORI_HUMAN	LORICRIN	Loricrin		16941.1	11615.8	8135.19	12041.8	11625.8
P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	4177.58	11418.8	13805.9	16122.7	8968.29	9862.92
P23527;P33778;Q16778	H2B1B_HUMAN;H2B1O_HUMAN;H2B2E_HUMAN	H2BC17;H2BC21;H2BC3	Histone H2B type 1-O	60581.9	6738.96	35612.9	74232.5	50797.9	16459.7
P23527;P33778;Q16778;P57053	H2B1B_HUMAN;H2B1O_HUMAN;H2B2E_HUMAN;H2BFS_HUMAN	H2BC12L;H2BC17;H2BC21;H2BC3	Histone H2B type 1-O	22126.3	13952.7	17708	44159.6	15949	15102
P23528	COF1_HUMAN	CFL1	Cofilin-1					2075.59	1841.39
P23528;Q9Y281	COF1_HUMAN;COF2_HUMAN	CFL1;CFL2	Cofilin-1	22378.7	24344.3	24768.3	26678.7	29454	10836.7
P23634	AT2B4_HUMAN	ATP2B4	Plasma membrane calcium-transporting ATPase 4	4197.61		1891.97	3775.26	3895.62	
P24158	PRTN3_HUMAN	PRTN3	Myeloblastin		3244.2	5060.78			2942.84
P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase	4739.73	2307.28	5301.07	5227.86	5368.1	4386.77
P24821	TENA_HUMAN	TNC	Tenascin	7916.03		2197.57	8894.46	2981.64	
P24844	MYL9_HUMAN	MYL9	Myosin regulatory light polypeptide 9	15260.7	14702	15364.1	36619.2	34330.6	23312.5
P24844;O14950;P19105	ML12A_HUMAN;ML12B_HUMAN;MYL9_HUMAN	MYL12A;MYL12B;MYL9	Myosin regulatory light chain 12B	43042.6	20432.1	30944.4	38151.1	41929.2	25001.3
P25067	CO8A2_HUMAN	COL8A2	Collagen alpha-2(VIII) chain	21779.4		6920.2	10747.7	15614.2	2454.85
P25189	MYP0_HUMAN	MPZ	Myelin protein P0	4635.06					
P25311	ZA2G_HUMAN	AZGP1	Zinc-alpha-2-glycoprotein	19126	159053	112928	107583	80350.9	230170
P25398	RS12_HUMAN	RPS12	Small ribosomal subunit protein eS12	138936		4297.1		7874.84	2808.37
P25705	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial	46339.5	11886	27113.6	26634.9	39762.2	17525.8
P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1		13498.7	11542	9024.18	5439.87	17461.1
P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2		11243.5	11423.1		6559.67	11779.3
P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	6298.88	13004	19921.6	11996.7	11405.1	20915.7
P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	6260.75	17166.9	21500.5	21554.7	14855.1	32420
P25940	CO5A3_HUMAN	COL5A3	Collagen alpha-3(V) chain	12126.4		4978.46		5762.37	
P26038	MOES_HUMAN	MSN	Moesin	19956.2	12670.8	18192.6	24611.3	22169.3	9875.5
P26038;P15311;P35241	EZRI_HUMAN;MOES_HUMAN;RADI_HUMAN	EZR;MSN;RDX	Ezrin	18458.5	7762.38	11671.6	8596.68	13654	6212.35
P26038;P35241	MOES_HUMAN;RADI_HUMAN	MSN;RDX	Moesin	6364.92		2857.59		3226.84	
P26373	RL13_HUMAN	RPL13	Large ribosomal subunit protein eL13	4117.27		4318.65	4832.67	1985.6	
P26447	S10A4_HUMAN	S100A4	Protein S100-A4	18591.3	20310.9	37227.2	17409.6	53177.4	5500.46
P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	3845.14		1113.23	4366.57	1306.44	618.519
P26599;O95758	PTBP1_HUMAN;PTBP3_HUMAN	PTBP1;PTBP3	Polypyrimidine tract-binding protein 3	2858.23					
P26927;Q2TV78	HGFL_HUMAN;MST1L_HUMAN	MST1;MST1L	Hepatocyte growth factor-like protein	1163.87		1149.35		1149.61	
P27105	STOM_HUMAN	STOM	Stomatin	7157.3	2541.93	3980.11	9977.29	5542.58	3358.51
P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	12514.9	3697.08	6670.62		7803.97	4530.91
P27348;P31946	1433B_HUMAN;1433T_HUMAN	YWHAB;YWHAQ	14-3-3 protein theta	2464.55					
P27361;P28482	MK01_HUMAN;MK03_HUMAN	MAPK1;MAPK3	Mitogen-activated protein kinase 3	945.822		1070.72	1975.69	1365.67	
P27482	CALL3_HUMAN	CALML3	Calmodulin-like protein 3	3273.76	5819.66	16865.3	7586.34	4698.63	8564.64
P27635	RL10_HUMAN	RPL10	Large ribosomal subunit protein uL16	3942.95	5188.28	5625.72	7460.78	7462.04	
P27658	CO8A1_HUMAN	COL8A1	Collagen alpha-1(VIII) chain	43406.7	13399.9	32769.1	17598.9	37628.6	10046.7
P27695	APEX1_HUMAN	APEX1	DNA repair nuclease/redox regulator APEX1	4151.87					
P27797	CALR_HUMAN	CALR	Calreticulin	6539.98	16332.3	14166.8	20724.9	11152	8636.87
P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	5265.6					
P27824	CALX_HUMAN	CANX	Calnexin	4787.66				2560.64	
P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	4314.32	13884.7	9925.1	15098.3	15522	27050.5
P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	5503.82	12564	11211.8	11852.2	10463.5	19782.3
P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	5138.75	16840.3	28193.8	19663.3	23650	54884.2
P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	2549.48	13471.6	16554.7	9098.25	9733.82	20943.7
P28161	GSTM2_HUMAN	GSTM2	Glutathione S-transferase Mu 2	2880.62		3475.97	4474.85	5786.52	2675.95
P28300	LYOX_HUMAN	LOX	Protein-lysine 6-oxidase	63707.9					
P29279	CCN2_HUMAN	CCN2	CCN family member 2	7622.46		398.133			
P29401	TKT_HUMAN	TKT	Transketolase	8999.53	7054.47	12425.2	16309.7	10948	10258.1
P29508	SPB3_HUMAN	SERPINB3	Serpin B3	9911.15	62996	73737.1	61815.3	93767.2	56369.1
P29508;P48594	SPB3_HUMAN;SPB4_HUMAN	SERPINB3;SERPINB4	Serpin B3	10385.5	73796.8	55626.7	59800.1	48396.7	71089.4
P29536	LMOD1_HUMAN	LMOD1	Leiomodin-1	24044.6	3007.85	3149.03	13648.7	12709.7	8548.37
P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	5949.48	3779.15	4004.98	6275.15	7359.45	
P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	5072.76			4524.71	2863.34	2711.38
P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	16975.2	6336.48	4377.29	12583.2	8806.72	6053.62
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	10510.9		8041.96		9807.96	6869.46
P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	6052.28		2713.08			2417.16
P30050	RL12_HUMAN	RPL12	Large ribosomal subunit protein uL11	8443.55	5126.25	2613.12		6956.1	5020.55
P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	12126.7	9915.51	17286.7	14062.3	15659	9575.75
