Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Perdu-Alloy Pauline\organoides fixes\TU014848CK_Slot1-01_1_3103.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014849CK_Slot1-02_1_3104.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014850CK_Slot1-03_1_3105.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014851CK_Slot1-04_1_3106.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014852CK_Slot1-05_1_3107.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014853CK_Slot1-06_1_3108.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014854CK_Slot1-07_1_3109.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014855CK_Slot1-08_1_3110.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014856CK_Slot1-09_1_3111.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014857CK_Slot1-10_1_3112.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014858CK_Slot1-11_1_3113.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014859CK_Slot1-12_1_3114.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014861CK_Slot1-25_1_3116.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014862CK_Slot1-26_1_3117.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014863CK_Slot1-27_1_3118.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014864CK_Slot1-28_1_3119.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014865CK_Slot1-29_1_3120.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014866CK_Slot1-30_1_3121.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014867CK_Slot1-31_1_3122.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014868CK_Slot1-32_1_3123.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014869CK_Slot1-33_1_3124.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014870CK_Slot1-34_1_3125.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014871CK_Slot1-35_1_3126.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014872CK_Slot1-36_1_3127.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014874CK_Slot1-13_1_3129.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014875CK_Slot1-14_1_3131.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014876CK_Slot1-15_1_3132.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014877CK_Slot1-16_1_3133.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014878CK_Slot1-17_1_3134.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014879CK_Slot1-18_1_3135.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014880CK_Slot1-19_1_3136.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014881CK_Slot1-20_1_3137.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014882CK_Slot1-21_1_3138.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014883CK_Slot1-22_1_3139.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014884CK_Slot1-39_1_3140.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014885CK_Slot1-40_1_3141.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014886CK_Slot1-41_1_3142.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014887CK_Slot1-42_1_3143.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014888CK_Slot1-43_1_3144.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014889CK_Slot1-44_1_3145.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014890CK_Slot1-45_1_3146.d
P47929	P47929	LEG7_HUMAN	LGALS7	Galectin-7	3982.83	80426.5	4356.09	4557.88	11225.9	4665.3	3561.02	5273.65	3917.2	4079.35	4658.01	4669.17	22859.5	4296.66	4449.2	26744.6	5433.59	5005.65	4657.6	5234.64	5474.45	5474.33	78930.9	7916.72		6320.71	6483.57	7474.68	6398.8	7570.03		6138.24	5225.53	5830.31	23859.5	6563.16	6449.74	7632.39	7205.82	7894.25	6590.96
P48147	P48147	PPCE_HUMAN	PREP	Prolyl endopeptidase		365.674														515.822																									
P48163	P48163	MAOX_HUMAN	ME1	NADP-dependent malic enzyme		2673.78	1567.38	1415.85	1137.79		1883.89			1402.44			2524.3	1429.25	2226.04	2805.35	978.239	1477.93	625.392		909.395	2760.35	4059.68	1238.41		3756.72	3085.37		3610.82	3025.29				2595.12	2837.92				2489.51		2506.58
P48594	P48594	SPB4_HUMAN	SERPINB4	Serpin B4		4710.13	3819.04		343.929		278.295	513.043			3257.26		4545.57	2789.39	295.497	2737.95	602.39		888.378	1015	668.023		1307.14	833.711																	
P48643	P48643	TCPE_HUMAN	CCT5	T-complex protein 1 subunit epsilon	1327.25	272.637	1936.03	778.474	1019.6	1598.14	1459.64	638.95		804.613	1340.22		1013.99	894.778	996.884	1183.27	687.701	609.565	970.171	1464.84	823.488	1566.86	1371.76																		
P48741	P17066;P48741	HSP77_HUMAN	HSPA7	Putative heat shock 70 kDa protein 7	5846.89		2934.14	1305.24								4156.78		4485.13			4805.52				4828.65																				
P49189	P49189	AL9A1_HUMAN	ALDH9A1	4-trimethylaminobutyraldehyde dehydrogenase	619.672	1503.75	526.412			758.46		803.923	551.022		425.44		400.81		326.695	1555.47		1702.26	713.06	701.411	1291.29		823.015			3158.1		2271.76						2081.17	2895.98				2048.14	2219.85	
P49327	P49327	FAS_HUMAN	FASN	Fatty acid synthase	1108.95	577.587	1142.79	767.024	355.005	650.487	780.92	664.536	836.163	950.186			955.307	953.352	581.181	525.276		866.786		581.057	900.252	419.275	1487.1	1001.26		1743.46		1400.49	1373.45		1414.7		1920.15		2011.76			1283.47	1378.09	1234.59	
P49368	P49368	TCPG_HUMAN	CCT3	T-complex protein 1 subunit gamma	1180.48	557.652	841.072	1069.01	1230.42	970.298	1571.63	1647.36		1646.51	1054.21	1397.5	1539.25	1497.21	985.048	762.685	1494.52	747.745	1738.25	1488.07	1399.95	1607.41	1456.54	2301.52																	
P49411	P49411	EFTU_HUMAN	TUFM	Elongation factor Tu, mitochondrial	2752.14	1135.5	2765.81		1576.1		3327.05			4435.46	3565.48	7453.26	3095.37	1640.61	5625.91	3045.67	4213.65	2475.68	3846.47			2644.2	1874.69	4555.04		3068.68		2692.53	3994.99		4514.89	5656.72	4814.62	4948.96	2922.09	4102.66		3887.46	3555.18	3660.78	3330.63
P49419	P49419	AL7A1_HUMAN	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase	484.469	701.147	866.13	627.56	692.823	441.443				1174.36	455.577		502.97	1006.65	286.873	870.348	874.753	1539.92	799.941	599.659	838.464	462.067		639.355		1031.45	1428.03	1105.12	1277.56		1323.59	1760.99		1425.24			1148.54			1372.17	
P49591	P49591	SYSC_HUMAN	SARS	Serine--tRNA ligase, cytoplasmic		485.34														388.002							371.147																		
P49720	P49720	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3	612.53	1622.03	801.895	487.713	684.101	657.582	757.173	497.245		965.242	679.959		642.007	983.575	1258.97	933.432	683.057	1254.05	980.312	744.547	556.571	868.056	745.385	516.898		4560		1014.64		907.712	934.668	1314.4			1602.31				1199.34	1048.02	1645.71
P49721	P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2	1638.47	2785.39	2701.25	2379.09	2050.47	1456.14	1007.66	1017.81		1871.1	3042.82		1640.23	2649.11	1120.64	2978.72	1585.01	3019.58	1380.98	1781.25	1241.4	1524.61	3268.79	2496.6		3973.66	3163.51	4625.77	2151.12	3064.14		2588.12	2093.53	2640.64	3815.27	3360.39	2262.41	2359.09	1734.7	2565.46	2290.69
P49754	P49754	VPS41_HUMAN	VPS41	Vacuolar protein sorting-associated protein 41 homolog	62497.6	27158.4	63251	71783.3	60972.3	70822.8	73362.3	49004.9	55793.9	104135	101767	53033.6	75667	103694	102645	51603.8	61126.5	63953	82013.6	82559.5	78904.5	75241.7	49331	67181.8		58173.9	51435.1	70420.5	59097.6	45809	84245.1	70271.9	91755.1	58111.5	34671.1	48351.8	60256.3	62002.7	70688.3	64395.9	62551.1
P49755	P49755	TMEDA_HUMAN	TMED10	Transmembrane emp24 domain-containing protein 10		1132		1431.17	840.155								962.713	640.557		834.251	545.621	915.577	718.983									3566.83							4658.01						
P49862	P49862	KLK7_HUMAN	KLK7	Kallikrein-7		599.793	1017.56		912.669	776.452	553.752	387.054		861.966			623.709			585.007		928.657	748.459		679.356	1209.98																			
P50395	P50395	GDIB_HUMAN	GDI2	Rab GDP dissociation inhibitor beta	797.73	1598.12	1471.63	1014.86	614.183	950.787	829.558	630.032		1415.48	604.569	1035.23	1289.98	1072.14	1168.92	1900.86	926.948	1423.87	1088.5	1213.92	892.533	946.257	1284.67	1802.5		1687.97	1892.21	1682.15	1997.66	1884.98	1427.2	1563.39	1422.16	1866.07	2939.92	2041.64	1268.31	1489.01	1797.41	1786.92	1720.02
P50452	O75830;P30740;P50452;P50453	SPB8_HUMAN	SERPINB8	Serpin B8		265.858															606.382	888.729								1933.54									1585.77						
P50502;Q8IZP2	P50502;Q8IZP2	F10A1_HUMAN;ST134_HUMAN	ST13;ST13P4	Hsc70-interacting protein	1215.47	465.169	1434.48	1283.19	1399.8	1204.24	850.144	1102.74		1166.64	741.039	1122.53	1232.28	1004.5	1603.07	1338.29	1416.69	1068.32	1530.82	1387.66	1018.97	1285.83	1216.57	1615.02		1879.92	2293.39	2480.74	1925.71	1865.17	2295.93	1964.19	2560.53	2256.42	1909.13	2229.64	2162.84	2021.93	2233.97	2397.78	2254.76
P50570	P50570	DYN2_HUMAN	DNM2	Dynamin-2		190.281																																							
P50914	P50914	RL14_HUMAN	RPL14	60S ribosomal protein L14	1700.51	1183.17	816.825	574.37	1080.69	1271.69	1055.74			621.531	1650.78	1252.49	2146.86	1182.36	556.962	665.502	683.494	918.32	933.918	742.521	658.252	695.423	1191.45	1175.1		1954.77	2688.22						3039.71	2581.46	2157.35	2626.44	2399.38	2310.08	2456.4	2892.13	2708.86
P50990	P50990	TCPQ_HUMAN	CCT8	T-complex protein 1 subunit theta	2991.1	959.342	2420.99	3083.04	2487.21	2522.43	2554.09	3278.33		3142.72	2757.29	1432.9	2740.42	3038.46	2729.37	3108.79	2872.99	2497.9	3007.88	2977.27	2871.84	2044.63	4137.63	3862.13		3588.98	4356.97	3463.31	3854.28	4021.37	4249.6	4147.96	3786.18	4017.22	3345.57	4483.42	3301.17	4071.88	3984.55	4205.96	3683.21
P50991	P50991	TCPD_HUMAN	CCT4	T-complex protein 1 subunit delta	1388.17	343.764		1034.2	1238.44	1178.58	849.72	1251.1	1050.26	1034.26		1150.61	1153.67		743.639	1411.1	1721.44	545.255	2034.38	1058.68	1240.57	990.557	1314.93	1702.65			2086.09		2265.72						1700.49	2051.24					1360.38
P50995	P50995	ANX11_HUMAN	ANXA11	Annexin A11	1137.08	696.384	1588.18	695.951		844.083		704.093		1196.69		973.322		727.869		1040.61		753.188	967.664			1804.2	962.915	875.8		1570.65						2148.23			2120.16			1662.39		1630.14	
P51149	P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a	1216.05	1045.7		1591.96		1373.73		1655.3	1827.7	1368.32			1252.31		996.782	1200.37		1068.03		1309.59	1069.44	552.829	1844.76					2256.74													
P51571	P51571	SSRD_HUMAN	SSR4	Translocon-associated protein subunit delta		1121.45					490.453						715.487			981.26		577.218					731.175					900.245		3592.1	563.438				3208.9					2967.39	
P51648	P51648	AL3A2_HUMAN	ALDH3A2	Fatty aldehyde dehydrogenase		533.498																793.742					818.686						2774.82						730.936						
P51649	P51649	SSDH_HUMAN	ALDH5A1	Succinate-semialdehyde dehydrogenase, mitochondrial	1981.95	691.135	2247.51	2432.96	2348.72	2073.22	2984.29	2151.97		1399.63		1398.43	1370.13	3568.77	1562.58	2068.96	1792.4	2665.76	2744.08	2535.07	1670.38	1342.44	1323.56	2507.21		2863.19	3101.94	2277.7	3279.09	2748.6	3085.12	2973.31	2845.06	2465.44	1839.88	1976.87	2827.01	1829.88	1766.7	2098.95	1910.73
P51659	P51659	DHB4_HUMAN	HSD17B4	Peroxisomal multifunctional enzyme type 2	2048.34	1776.92	1636.58	1423.09	2620.18	1550.69	2822.81	1429.08	3131.82	2405.58	1022.86	2209.5	1551.43	1870.46	1602.08	676.858	2156.76	2159.74	1269.7	2066.48	1842.02	1503.85	2048.4	1997.95		8727.19		3864.65	3376.16		4790.63		4776.3	4119.34	4888.46			4075.88	3021.9	3901.15	5941.34
P51858	P51858	HDGF_HUMAN	HDGF	Hepatoma-derived growth factor	3099.82	270.849	2043.73	1634.01	1825.32	2446.98	2360.56	3077.77		1083.01	1996.59	2311.35	1787.29	3382.79	2031.69	2181.31	2934.28	1287.77	2787.17	1585.33	2075.83	1772.47	2270.73	2244.42		2832.01	3691.32	2583.4	4110.18	3412.49	3301.87	4518.36	4034.32	3661.67	2766.96	3838.9	3131.74	3037.71	3088.17	3263.72	2936.42
P51991	P51991	ROA3_HUMAN	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	1957.26	854.808	1920.44	1285.2	1900.06	1353.72	1408.01	1381.7	1390.62	1763.66	1223.97	2396.35	1875.03	1729.26	1930.33	1569.44	1967.42	1189.67	1885.33	1534.5	1756.57	1560.34	1518.66	2123.38		5440.98															
P52209	P52209	6PGD_HUMAN	PGD	6-phosphogluconate dehydrogenase, decarboxylating		762.147			1988.68	1164.24							1339.19		1956.8	1681.18				1778.78		1415.23	1890.26									3181.45	3629.89		2927.27			3261.13		2959.13	
P52272	P52272	HNRPM_HUMAN	HNRNPM	Heterogeneous nuclear ribonucleoprotein M	1898.49	914.584	1600.81	1132.77	1198.83	1126.15	1656.93	1768.5	1597.81	1601.31	1859.48		1321.18	1519.84	1317.65	1653.45	1196.55	780.135	1236.21	2131.66	1396.35	1244.92	1740.41	1483.64							2585.96				2158.87	2636.15		3223.44	2272.74	2402.14	2834.32
P52565	P52565	GDIR1_HUMAN	ARHGDIA	Rho GDP-dissociation inhibitor 1	918.943	1337.79		640.261	696.872	1141.52	955.014		1817.8	622.372			1092.3	1100.93	642.359	1447.23	653.601	1072.54	1284.29	1371.45	889.116	1054.3	1722.15	1580.12		1731.94	2748.22	2060.77		2190.73	2256.08				2931.3	2138.62		2281.42	1690.64	2376.85	2181.9
P52907	P47755;P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1	1690.67	3364.77	2149.18	1421.65	1675.32	1453.91	1708.78	1236.18		1472.13	1013.95		1387.6	1525.3	1325.49	2551.28	1426.15	2504.85	1376.83	1448.89	1248.62	1975.05	2894.65	1147.6		1373.79	1998.88	1758.01	1941.82	1825.68	1545.79	1609.69	1506.31		4432.39	1791.48	2647.34	1970.32	1976.17	2239.41	2142.81
P53618	P53618	COPB_HUMAN	COPB1	Coatomer subunit beta		323.843		556.708	480.275	441.365	441.843						560.632		905.146	290.967	399.829		489.513	857.071	684.561	437.179	404.828	610.223																	
P53621	P53621	COPA_HUMAN	COPA	Coatomer subunit alpha	1223.13	1061.83		1291.79	900.234								779.584			1064.56	1038.22		1307.07	1178.96		618.678	2127.5	1805.86		2615.1	3898.82			4391.09			2547.81		4499.69		2252.21	2590.27	2260.58	2551.43	2118.79
P53634	P53634	CATC_HUMAN	CTSC	Dipeptidyl peptidase 1	438.742	405.477	1797.18	828.779	316.995	707.93	330.903	2401.54	1118.84	779.776	2413.95	225.017	1412.6	990.486	1022.54	434.53	747.256	2909.93	887.8	948.488	1280.17	543.904		1226.38		1199.21	1705.71	2153.17	1322.59	1205.97	1382.21	1098.74	1458.39	1031.47	1177.19	646.383	1458.51	946.631	1374.2	1232.91	1481.65
P53999	P53999	TCP4_HUMAN	SUB1	Activated RNA polymerase II transcriptional coactivator p15	4705.08	1171.74	2725.34	2647.15	2719.37	3087.46	2725.6	2943.35	1159.04	3507.51	2178.45		2712.19	2682.8	2908.99	2600.74	1811.65	2481.52	2952.02	2411.17	2978.98		3188.3	3242.04		3385.62	4656.7	2965.08	5031.43	4300.04	4943.27	5228.09	4578.14	6149.83	4001.34	6033.22	4777.14	4710.18	4706.91	4627.41	4270.31
P54136	P54136	SYRC_HUMAN	RARS	Arginine--tRNA ligase, cytoplasmic		481.565											732.968										912.154																	1484.35	
P54920	P54920	SNAA_HUMAN	NAPA	Alpha-soluble NSF attachment protein		185.654																																							
P55072	P55072	TERA_HUMAN	VCP	Transitional endoplasmic reticulum ATPase	2844.55	3475.42	3158.22	2907.99	3045.38	2883.29	3165.57	3523.27	3441.16	2496.82	2365.98	3424.83	3307.84	2566.78	3024.44	3556.31	2449.61	1936.78	2366.51	2269.09	2594.66	2615.03	7369.23	3018.99											23145.6						
P55265	P55265	DSRAD_HUMAN	ADAR	Double-stranded RNA-specific adenosine deaminase	9623.25	1482.5	8193.75	5907.99	9192.36	8159.45	8942.38	10187.2	6873.89	7756.71	6089.2	6403.07	5436.68	6619.15	4980.65	6013.69	5958.68	1773.37	7639.02	5546.92	3234.38	5616.25	4800.58	8160.49		8235.6	9601.71	4930.76	8638.44	10354.3	7049.76	10627.5	7590.49	10153.9	3719.41	7061.1	4231.28	5061.47	5664.07	5673.07	4609.99
P55786	A6NEC2;P55786	PSA_HUMAN	NPEPPS	Puromycin-sensitive aminopeptidase		1729.8		822.385	1266.02	1304.31	836.209	969.425			1515.33		960.044	1265.65	1197.65	1851.89	1071.96	846.114	836.45	741.572	1106.49	1167.87	945.879	1083.9		3053.09		3144.6							1837.31		3720.2	2998.19			
P55854;P61956;Q6EEV6	P55854;P61956;Q6EEV6	SUMO2_HUMAN;SUMO3_HUMAN;SUMO4_HUMAN	SUMO2;SUMO3;SUMO4	Small ubiquitin-related modifier 3	1273.58	383.971	844.423	1526.33	1644.46	785.706	1409.86	1075.72	1340.33	1389.05	1332.63		681.961	739.967	932.233	1172.27	972.5	1105.51	1530.56	560.356	1133.85	1080.89	827.928	1860.45		1615.26	2027.46	1603.36	1725.69	2193.17	2234.05	2440.03	2109.28	2191.89	1768.19	2620.78	2313.56	2343.21	2357.29	2416.72	2183.89
P55884	P55884	EIF3B_HUMAN	EIF3B	Eukaryotic translation initiation factor 3 subunit B	885.868	545.106											504.492					219.352					470.721																		
P56537	P56537	IF6_HUMAN	EIF6	Eukaryotic translation initiation factor 6		2145.28	2630.04	2360.58	3408.31	1322.31	2609.3	886.006		1823.44	992.51		970.483	2602.64	1893.73	1775.12	1762.27	3535.54	2978.51		1884.45	1877.52	966.109			2709.67			3553.58		2120.25				2431.6				2212.67		2070.53
P57735	P57735	RAB25_HUMAN	RAB25	Ras-related protein Rab-25		726.37			1370.34																		1001.04												2376.57						
P58107	P58107	EPIPL_HUMAN	EPPK1	Epiplakin	4364.74	31840.5	7051.9	4884.42	5865.83	4890.73	5315.4	5302.3		6319.13	3344.62	6006.14	12005.2	5771.55	7849.16	16560.9	7671.59	3179.74	4902.42	5760.05	5804.09	3405.93	54106.6	8087.6		10171.3	6085.43	8713.3	9355.76	2752.96			4342.09	5021.92	18609.3	3665.82		3377.07	4461.62	4418.83	5168.85
P59190	P51153;P59190;P61006;P61026;P62820;Q92928;Q92930;Q9H0U4	RAB15_HUMAN	RAB15	Ras-related protein Rab-15	1624.33	2352.33	874.853	1373.6	1632.87	772.892	1980.54	1367.11	1428.47	1232.7	1481.19	2580.96	2416.23	1604.27	1356.7	1810.15	1123.4	2187.08	1805.9	1728.3	2491.35	2192.4	1884.41	1201.21		2308.82	3433.03	3018.28	3413.48	3081.73	3454.07	3242.22	3274.69	3521.28	3647.23	3182.3	2521.55	3087.54	3010.23	3224.35	3354.44
P59998	P59998	ARPC4_HUMAN	ARPC4	Actin-related protein 2/3 complex subunit 4	1480.29	2025.21	1223.52	1369.41	1153.36	1204.35	1342.55	906.982		1618.81	1220.18		1787.4	1257.5	1258.58	1290.74	1247.4	934.106	1450.48	1228.79	1237.23	1330.31	2726.8	1905.95			1826.69	1588.27	1623.26	2077.04	1983.53	1804.16	1636.44	1858.19	3608.28	1982.2	1904.48	1980.66	2047.83	1935.83	2082.02
P60174	P60174	TPIS_HUMAN	TPI1	Triosephosphate isomerase	1205	1491.27	1890.45	1050.01	1536.19	1547.3	894.128	1859.97		1285.52	879.551	1464.93	940.596	1120.66		2111.93	979.81	714.76	680.021	1108.62	634.006	712.11	1321.93	2129.31		2697.41		5011.46						4318.28	3555.35						
P60660	P60660	MYL6_HUMAN	MYL6	Myosin light polypeptide 6	950.968	1356.07	1367.89	806.015	749.768	761.704	1135.83	1193.54	684.908	1269.02	1638.97		2026.34	848.652	1922.3	783.497	897.414	856.64	1334.58	1551.7	950.246	1518.88	1674.84	1009.11								5003.49		4352.08		2601.53	2566.14		2209.21	2732.78	2660.3
P60709;P63261	P60709;P63261	ACTB_HUMAN;ACTG_HUMAN	ACTB;ACTG1	Actin, cytoplasmic 1	48143	40353.1	41364.5	39846.4	41808.3	40515.2	43683.2	42796.1	27228.5	48893.2	45961.8	33490.7	63039.8	39649.2	46397.4	39604.7	43347.5	31541.4	45521.2	45209	48072.3	46550.4	61282.9	50556		27418.7	32056.4	30127.4	30074.6	32598.5	36769.8	36545.3	37440.1	38329.9	41170.6	37796.4	35827.3	43396.2	45658.7	47180.6	42263
P60842	P60842;Q14240	IF4A1_HUMAN	EIF4A1	Eukaryotic initiation factor 4A-I	4381.03	5817.57	3942.53	3585.24	3948.79	3252.56	2867.78	3398.69	3450.27	4110.03	3295.67	4245.09	4074.15	3154.82	3859.96	4565.88	3768.06	3404.74	3577.52	3979.7	3022.29	4175.52	5946.86	4947.43		2132.1	2649.11	2933.98	3171.35	2168.38	3262.94	2504.4	3545.61	2997.59	5965.98	3501.38	4057.29	3676.57	3243.6	4022	3542.32
P60866	P60866	RS20_HUMAN	RPS20	40S ribosomal protein S20	1534.01	705.927	1571.42	1021.3	964.128	689.928	1169.97	1278.22		1220.22	1399.47	2308.08	2418.87	1151.25	1391.24	1025	1509.62	883.596	1363.74	1178.48	1487.67	1719.32	1530.6	1363.04		1031.9	1627.61	1759.14				875.921			1319.65		1617.19				
P60891	P11908;P21108;P60891	PRPS1_HUMAN	PRPS1	Ribose-phosphate pyrophosphokinase 1	3270.93	589.786	1754.33	2443.28	2130.65	2253.16	3163.64	2795.07		2296.75	2691.81	3012.69	3381.47	2274.52	3805.8	2674.53	3806.01	1554.13	2717.88	4104.99	2244.6	2960.84	2778.23	2796.15		2306.35	3113.11	1946.63	2511.14	3714.34	3177.43	3366.49	3745.06	4043.39	2645.55	4364.98	4018.52	4542.33	3750.47	4102.22	3782.14
P60900	P60900	PSA6_HUMAN	PSMA6	Proteasome subunit alpha type-6	1633.58	1701.26	1662.68	1203.12	949.1	852.896	1180.34			1220.8	1114.25	2174.85	1291.93	1273.49	851.535	1861.35	1622.28	2473.68	1290.07	715.784	1665.32	1029.81	1728.96	1408.45		2088.92	1577.69	2307.36	1659.08	1440.41	1382.1	1329.82	1128.24	1799.35	2980.82	1430.85	1582.73	1421.43	1697.22	1570.46	2104.6
P60953	P60953	CDC42_HUMAN	CDC42	Cell division control protein 42 homolog	509.445	285.609	533.007	611.226	461.253	766.199	724.133	611.357	1135.15	310.769	494.717		443.825	1054.72	222.816	698.665	191.786	258.753	922.571	549.814	381.837		1631.82	1178.01																	
P60981	P60981	DEST_HUMAN	DSTN	Destrin	709.705	1006.86								771.876			1441.41	847.191	1027.45	1032.69	484.755				940.107		1207.89												1395.97	1452.94		1119.06	1087		1448.34
P61019	P61019	RAB2A_HUMAN	RAB2A	Ras-related protein Rab-2A		313.598																					323.339	601.956																	
P61026	P61026	RAB10_HUMAN	RAB10	Ras-related protein Rab-10		858.338											273.323		334.942	359.766		362.785	112.861				247.852																		
P61077;P62837	P61077;P62837	UB2D2_HUMAN;UB2D3_HUMAN	UBE2D2;UBE2D3	Ubiquitin-conjugating enzyme E2 D3		905.226		837.357	821.471	1312.39							1328.39		1131.02			1396.62	915.116	1108.76	1210.32		787.62																		
P61088;Q5JXB2	P61088;Q5JXB2	UBE2N_HUMAN;UE2NL_HUMAN	UBE2N;UBE2NL	Ubiquitin-conjugating enzyme E2 N	2075.36	909.472	1666.57	1815.97	1632.2	1908.55	1801.53	1806.16		1516.68	1057.98	2525.82	1713.57	1545.65	1470.26	1276.08	1353.26	935.354	1701.18	2090.69	1277.06	1529.74	1934.49	1873.96				1127.4			1004.13	1092.4							944.034		
P61106	P61106	RAB14_HUMAN	RAB14	Ras-related protein Rab-14		2643.59			1119.63		576.63						1253.23	742.986	1740.12		951.012	900.109	780.833	938.697	1035.46		2063.48	2289.88											8887.11						
P61158	P61158	ARP3_HUMAN	ACTR3	Actin-related protein 3	2980.43	2651.84	2051.68	2225.24	2162.9		1753.92	1185.25		1763.7	2119.8	1803.47	2632.8	1561.33	2097.13	2256.03	2254.92	1489.04	2735.82	1926.02	1615.63	1389.44	3211.88	1779.48					2504.81			1423.7			5000.51	5830.22	3133.61	1718.22	2399.19	2167.05	2442.77
P61160	P61160	ARP2_HUMAN	ACTR2	Actin-related protein 2	1159.11	1135.01									1897.4		1558.89	1521.63	2584.6	854.442	1010.32	1047.52			1582.66	1049.33	1869.54	1580.16											2355.64						
P61204;P84077	P61204;P84077	ARF1_HUMAN;ARF3_HUMAN	ARF1;ARF3	ADP-ribosylation factor 3	2165.28	1448.65	2946.19	1779.29	2023.41	1440.69	2256.53	1770.62	2674.27	2408.4	2263.74	1527.6	1642.67	1597.7	1428.15	1887.59	1775.87	1993.34	1566.99	2192.22	1535.77	1540.73	1889.72	2318.45		2550.98	3462.15	2587.49	3203.48	3062.71	3708.78	3203.21	3469.21	3407.39	2805.94	3895.44	5102.59	3107.42	2954.82	3356	3065.47
P61224;P62834	A6NIZ1;P61224;P62834	RAP1A_HUMAN;RAP1B_HUMAN	RAP1A;RAP1B	Ras-related protein Rap-1b		384.726											207.411																												
P61247	P61247	RS3A_HUMAN	RPS3A	40S ribosomal protein S3a		992.535				2603.47					1413.02		1599.1		2241.27	1554.6	1947.93	1109.62	1466.55	2137.9		1900.51		2520.8																	
P61254;Q9UNX3	P61254;Q9UNX3	RL26L_HUMAN;RL26_HUMAN	RPL26;RPL26L1	60S ribosomal protein L26	1508.23	755.647	2713.98	1714.5	1562.55	1191.76	1135.39	1651.05		1437.23	582.504	2003.29	2009.12	1249.82	1301.37	1151.2	2073.57	1257.66	1309.36	1415.12	1334.78	1584.4	1527.41	3248.05			2939.24			2228.82	2169.07	2454.43	2342.7	2173.96	2281.95	2252	3496.2	2993.07		3442.36	1878.14
P61313	P61313	RL15_HUMAN	RPL15	60S ribosomal protein L15		805.09				1986.83							1942.12	940.003		1563.92			1609.58			1884.97	1736.1	2067.49				3011.42													
P61353	P61353	RL27_HUMAN	RPL27	60S ribosomal protein L27	1247.35	474.881				1238.87							2086.4	677.416			999.015		926.122	1246.38				2007.92							1626.07	1511.62			1384.92	1486.13	2314.15	1827.88	1879.93		2160.24
P61513	P61513	RL37A_HUMAN	RPL37A	60S ribosomal protein L37a		463.624			251.225								387.974										423.038			237.802															
P61604	P61604	CH10_HUMAN	HSPE1	10 kDa heat shock protein, mitochondrial	5771.95	1743.7	5247.1	4236.89	4496.73	4903.22	5205.66	4775.98	2705.3	5050.93	4604.73	4645.55	3383.64	3994.11	4590.98	3615.25	4743.6	3169.53	4139.72	4656.65	4530.26	5151.75	3411.09	4625.36		2822.84	3351.66	3296.92	3589.5	3463.76	3985.37	4576.3	3692.28	4190.88	4026.26	5753.61	4573.78	4308.74	5289.49	5177.79	5550.76
